uid,task,split,variant,prompt,label,prediction,model
nli_0001,nli,test,clean,"Task: Natural Language Inference (NLI)
Decide if the hypothesis is entailed by, contradicts, or is neutral with respect to the premise.

Premise: Le chat est sur le tapis.
Hypothesis: Un animal est sur le tapis.

Answer with one label: entailment, contradiction, neutral.",entailment,neutral,baseline_random
nli_0001,nli,test,switchmix,"Task: Natural Language Inference (NLI)
Decide if the hypothesis is entailed by, contradicts, or is neutral with respect to the premise.

Premise: Le chat est sur le tapis.
Hypothesis: Un animal est sur le tapis.

Answer with one label: entailment, contradiction, neutral.",entailment,entailment,baseline_random
nli_0002,nli,test,clean,"Task: Natural Language Inference (NLI)
Decide if the hypothesis is entailed by, contradicts, or is neutral with respect to the premise.

Premise: Il pleut aujourd'hui à Paris.
Hypothesis: Le temps est sec.

Answer with one label: entailment, contradiction, neutral.",contradiction,entailment,baseline_random
nli_0002,nli,test,switchmix,"Task: Natural Language Inference (NLI)
Decide if the hypothesis is entailed by, contradicts, or is neutral with respect to the premise.

Premise: Il pleut aujourd'hui à Paris.!!
Hypothesis: Le temps est sec.

Answer with one label: entailment, contradiction, neutral.",contradiction,neutral,baseline_random
nli_0003,nli,test,clean,"Task: Natural Language Inference (NLI)
Decide if the hypothesis is entailed by, contradicts, or is neutral with respect to the premise.

Premise: Marie a acheté une voiture.
Hypothesis: Marie aime le sport.

Answer with one label: entailment, contradiction, neutral.",neutral,entailment,baseline_random
nli_0003,nli,test,switchmix,"Task: Natural Language Inference (NLI)
Decide if the hypothesis is entailed by, contradicts, or is neutral with respect to the premise.

Premise: Marie a acheté une voiture.
Hypothesis: Marie aime le sport.

Answer with one label: entailment, contradiction, neutral.",neutral,neutral,baseline_random
nli_0001,nli,test,clean,"Task: Natural Language Inference (NLI)
Decide if the hypothesis is entailed by, contradicts, or is neutral with respect to the premise.

Premise: Le chat est sur le tapis.
Hypothesis: Un animal est sur le tapis.

Answer with one label: entailment, contradiction, neutral.",entailment,entailment,google/flan-t5-small
nli_0001,nli,test,switchmix,"Task: Natural Language Inference (NLI)
Decide if the hypothesis is entailed by, contradicts, or is neutral with respect to the premise.

Premise: Le chat est sur le tapis.
Hypothesis: Un animal est sur le tapis.

Answer with one label: entailment, contradiction, neutral.",entailment,entailment,google/flan-t5-small
nli_0002,nli,test,clean,"Task: Natural Language Inference (NLI)
Decide if the hypothesis is entailed by, contradicts, or is neutral with respect to the premise.

Premise: Il pleut aujourd'hui à Paris.
Hypothesis: Le temps est sec.

Answer with one label: entailment, contradiction, neutral.",contradiction,entailment,google/flan-t5-small
nli_0002,nli,test,switchmix,"Task: Natural Language Inference (NLI)
Decide if the hypothesis is entailed by, contradicts, or is neutral with respect to the premise.

Premise: Il pleut aujourd'hui à Paris.!!
Hypothesis: Le temps est sec.

Answer with one label: entailment, contradiction, neutral.",contradiction,entailment,google/flan-t5-small
nli_0003,nli,test,clean,"Task: Natural Language Inference (NLI)
Decide if the hypothesis is entailed by, contradicts, or is neutral with respect to the premise.

Premise: Marie a acheté une voiture.
Hypothesis: Marie aime le sport.

Answer with one label: entailment, contradiction, neutral.",neutral,no,google/flan-t5-small
nli_0003,nli,test,switchmix,"Task: Natural Language Inference (NLI)
Decide if the hypothesis is entailed by, contradicts, or is neutral with respect to the premise.

Premise: Marie a acheté une voiture.
Hypothesis: Marie aime le sport.

Answer with one label: entailment, contradiction, neutral.",neutral,no,google/flan-t5-small
qa_0001,qa,test,clean,"Task: Question Answering
Answer the question using only the provided context.

Context: Paul est allé au marché ce matin pour acheter des fruits. Il a choisi des pommes et des bananes.
Question: Quels fruits Paul a-t-il achetés ?

Answer:",pommes et bananes,,baseline_random
qa_0001,qa,test,switchmix,"Task: Question Answering
Answer the question using only the provided context.

Context: Paul est allé au marché ce matin pour acheter des fruits. Il a choisi des pommes et des bananes.
Question: Quels fruits Paul a-t-il achetés ?

Answer:",pommes et bananes,,baseline_random
qa_0001,qa,test,clean,"Task: Question Answering
Answer the question using only the provided context.

Context: Paul est allé au marché ce matin pour acheter des fruits. Il a choisi des pommes et des bananes.
Question: Quels fruits Paul a-t-il achetés ?

Answer:",pommes et bananes,Paul was allé au marché ce matin pour acheter des fruits. He chose des pommes and des bananes.,google/flan-t5-small
qa_0001,qa,test,switchmix,"Task: Question Answering
Answer the question using only the provided context.

Context: Paul est allé au marché ce matin pour acheter des fruits. Il a choisi des pommes et des bananes.
Question: Quels fruits Paul a-t-il achetés ?

Answer:",pommes et bananes,Paul was allé au marché ce matin pour acheter des fruits. He chose des pommes and des bananes.,google/flan-t5-small
